ActivityType;StartTime;EndTime;AltitudeAvg;AltitudeMin;AltitudeMax;Ascent;Descent;Distance;Duration;HrAvg;HrMin;HrMax;Calories;SpeedAvg;SpeedMax;CadenceAvg;CadenceMax
Biking;2020-05-22 16:02:26+00:00;2020-05-22 18:15:02+00:00;101.07863447791459;72.4000015258789;136.1999969482422;280.3999938964844;280.3999938964844;45942.74;7956.0;109.84656693517454;75;None;761;20.788570135746607;None;None;None
Other;2020-05-25 15:58:03+00:00;2020-05-25 17:51:27+00:00;115.22887754489285;95.0;140.0;672.3998031616211;680.3998031616211;30138.35;6804.0;151.69112252384446;92;None;1278;15.94621693121693;None;None;None
Biking;2020-05-27 14:53:05+00:00;2020-05-27 15:15:10+00:00;125.13579162134266;106.4000015258789;135.39999389648438;44.5999755859375;46.39997863769531;8275.91;1325.0;113.27114967462039;85;None;180;22.485491320754715;None;None;None
Biking;2020-05-27 20:08:04+00:00;2020-05-27 20:23:08+00:00;124.30119769159191;117.80000305175781;136.1999969482422;33.0;39.0;6426.9400000000005;904.0;109.22754491017965;76;None;109;25.59400884955752;None;None;None
Other;2020-05-28 14:52:45+00:00;2020-05-28 15:58:34+00:00;144.94334859659892;130.60000610351562;159.0;430.60009765625;428.0000915527344;16747.02;3949.0;149.20864946889225;86;None;777;15.266971891618134;None;None;None
Other;None;None;None;None;None;0;0;0.0;None;None;None;None;250;None;None;None;None
Running;2020-05-29 12:40:59+00:00;2020-05-29 13:09:21+00:00;128.5569024391046;124.0;131.60000610351562;13.799995422363281;8.79998779296875;2426.64;1702.0;100.45791245791246;79;None;156;5.132728554641598;None;None;None
Running;2020-05-29 13:28:20+00:00;2020-05-29 13:39:50+00:00;131.51181078332615;126.80000305175781;135.1999969482422;6.0;9.399993896484375;1413.97;690.0;109.8267716535433;88;None;86;7.377234782608696;None;None;None
Biking;2020-05-29 19:06:22+00:00;2020-05-29 19:51:38+00:00;122.11492637465982;106.4000015258789;139.1999969482422;247.99983978271484;250.39983367919922;17045.9;2716.0;137.7;88;None;461;22.5939764359352;None;None;None
Other;2020-05-30 12:10:27+00:00;2020-05-30 14:08:16+00:00;173.7295106776993;170.0;180.60000610351562;21.800003051757812;21.20001220703125;9932.05;7069.0;93.13837920489297;61;None;653;5.058053472909888;None;None;None
Other;2020-05-30 15:37:05+00:00;2020-05-30 16:36:34+00:00;122.99235951712961;109.5999984741211;137.60000610351562;423.7998809814453;421.5998840332031;9055.13;3569.0;164.9017178259645;103;None;841;9.133782011768002;None;None;None
Biking;2020-05-31 11:01:32+00:00;2020-05-31 15:11:30+00:00;102.98008459057624;79.5999984741211;147.39999389648438;1796.3999481201172;1772.7999420166016;92817.22;14998.0;149.89414813804393;90;None;2476;22.279103347112947;None;None;None
Running;2020-06-01 16:32:44+00:00;2020-06-01 18:09:18+00:00;138.73629667691173;132.39999389648438;157.8000030517578;297.59999084472656;298.99998474121094;11027.16;5794.0;127.03979328165374;67;None;738;6.851531929582327;None;None;None
Other;None;None;None;None;None;0;0;0.0;None;None;None;None;384;None;None;None;None
